ANO;BIMESTRE;COMPONENTE;CURSO;QT
2025;3;926075;987;1087
2025;4;987002;987;628
2025;3;999202;913;159
2025;4;999204;913;94
2025;3;973014;973;39
2025;4;999210;973;33
2025;3;999213;912;116
2025;3;999213;700;23
2025;3;999236;700;35
2025;3;700244;935;16
2025;3;907068;907;34
2025;3;999240;907;1178
2025;3;912130;913;280
2025;3;999200;913;378
2025;3;900014;986;78
2025;3;986001;986;19
2025;4;993000;986;18
2025;3;999209;961;11
2025;3;913075;954;57
2025;4;999205;954;30
2025;4;999209;907;203
2025;3;961019;964;51
2025;3;961020;964;11
2025;4;908126;946;64
2025;4;999227;946;17
2025;4;908153;908;10
2025;3;918111;918;62
2025;4;918144;918;67
2025;3;999227;918;90
2025;4;900015;913;35
2025;3;918061;918;67
2025;3;918083;918;71
2025;3;918087;918;101
2025;4;997001;997;33
2025;3;999200;986;68
2025;3;948049;948;142
2025;3;913061;913;7
2025;3;945020;945;8
2025;3;999228;945;8
2025;3;700244;903;15
2025;3;999203;907;2244
2025;3;908159;948;339
2025;3;918111;948;1342
2025;3;913059;913;72
2025;3;953059;913;44
2025;3;912114;912;379
2025;4;999236;907;193
2025;3;907094;907;72
2025;3;999204;975;46
2025;3;999205;967;51
2025;3;925097;909;182
2025;4;999212;909;65
2025;3;999217;909;151
2025;3;907103;907;47
2025;3;916045;917;10
2025;3;904095;905;81
2025;3;904097;905;65
2025;4;904100;905;37
2025;3;905051;938;12
2025;4;999212;938;11
2025;3;999228;938;13
2025;3;999201;913;88
2025;4;963005;941;10
2025;3;946004;946;167
2025;3;918041;918;69
2025;3;918060;918;69
2025;4;913079;909;70
2025;3;912102;941;17
2025;3;999167;941;27
2025;3;912141;912;174
2025;3;953068;912;105
2025;4;913087;913;60
2025;3;999187;902;2
2025;4;967022;949;41
2025;3;999217;949;56
2025;4;912119;952;48
2025;3;912111;952;105
2025;3;952011;952;53
2025;4;919104;919;76
2025;4;999214;919;58
2025;3;937024;937;42
2025;3;937034;937;79
2025;3;937046;937;106
2025;3;937050;937;111
2025;3;918018;919;25
2025;3;919064;919;8
2025;3;926042;926;132
2025;3;912094;912;190
2025;3;912105;912;79
2025;3;963006;953;106
2025;3;946021;946;89
2025;3;908129;908;17
2025;3;912130;912;537
2025;4;986025;986;21
2025;3;948001;948;157
2025;3;942039;942;44
2025;3;905036;905;3
2025;3;912122;957;161
2025;3;912103;942;8
2025;3;912106;942;10
2025;3;912082;912;98
2025;3;912089;912;137
2025;3;912101;912;60
2025;4;912103;912;111
2025;4;900017;907;927
2025;3;999159;700;4
2025;3;918108;919;94
