ANO;BIMESTRE;COMPONENTE;CURSO;QT
2025;3;907114;907;747
2025;3;936018;942;130
2025;3;999203;950;32
2025;3;961023;961;15
2025;3;961040;961;17
2025;3;912121;912;140
2025;4;934061;987;245
2025;3;999206;987;294
2025;3;700252;935;9
2025;3;907067;907;38
2025;3;907100;907;56
2025;3;980228;907;44
2025;4;904105;930;40
2025;4;905055;930;39
2025;4;999219;930;40
2025;3;913085;913;158
2025;3;941037;913;419
2025;3;999228;913;316
2025;4;907109;931;58
2025;4;907116;931;58
2025;4;999216;931;58
2025;3;907135;907;405
2025;3;900015;906;20
2025;3;906076;906;25
2025;3;906090;906;35
2025;3;907111;906;43
2025;3;907113;906;39
2025;3;999204;906;52
2025;3;999205;906;15
2025;3;999209;906;32
2025;3;954022;954;39
2025;4;918164;918;79
2025;4;999216;918;66
2025;3;918113;918;170
2025;3;918114;918;222
2025;3;907144;907;230
2025;4;908126;946;149
2025;3;700243;700;37
2025;4;951007;951;76
2025;3;999213;951;81
2025;3;946030;946;85
2025;3;946036;946;57
2025;4;946045;946;54
2025;3;906083;917;9
2025;3;912110;917;6
2025;3;912130;917;8
2025;4;918127;917;4
2025;3;912107;912;671
2025;4;908126;908;10
2025;3;999217;908;31
2025;4;916055;917;17
2025;3;980240;906;3
2025;3;913079;913;117
2025;3;908143;997;16
2025;4;918113;948;910
2025;3;948003;948;598
2025;4;948005;948;807
2025;3;999227;948;276
2025;4;907142;931;163
2025;4;907156;931;164
2025;3;918120;948;103
2025;3;948061;948;130
2025;3;999215;901;11
2025;4;945016;945;4
2025;3;907110;925;29
2025;4;925106;925;16
2025;4;700255;903;19
2025;4;999219;903;19
2025;3;907131;907;852
2025;3;999203;906;41
2025;4;904097;924;13
2025;3;948010;948;338
2025;3;999233;700;26
2025;3;913040;913;51
2025;3;913059;913;45
2025;4;908139;948;116
2025;4;999206;948;115
2025;3;999216;907;183
2025;3;980230;907;88
2025;3;907091;907;32
2025;3;907105;907;55
2025;3;906085;975;38
2025;3;966027;967;70
2025;3;967028;967;73
2025;3;925097;909;222
2025;3;999210;909;31
2025;3;999217;909;130
2025;3;999204;907;1185
2025;4;950024;971;8
2025;3;900014;901;9
2025;4;926062;951;123
2025;3;905053;938;11
2025;3;938017;938;11
2025;3;953062;938;8
2025;4;999214;938;11
2025;3;913075;954;129
2025;3;912130;913;282
2025;3;913090;913;28
2025;4;941018;941;10
2025;4;948028;948;54
2025;3;999216;948;55
2025;3;999202;987;425
2025;4;999202;948;197
2025;3;934056;934;10
2025;3;907115;993;37
2025;3;918106;675;130
2025;3;999211;909;64
2025;3;912148;912;159
2025;4;913089;913;62
2025;3;904096;924;31
2025;3;904099;924;28
2025;4;913094;913;78
2025;3;904119;929;6
2025;3;999187;902;2
2025;3;949010;949;55
2025;3;999213;949;41
2025;4;999214;949;41
2025;3;918118;948;501
2025;3;977002;977;44
2025;4;977006;977;54
2025;4;999207;977;33
2025;3;999203;952;85
2025;3;919082;919;67
2025;3;925103;925;32
2025;3;919053;919;48
2025;3;919064;919;8
2025;4;999205;998;44
2025;3;926041;926;52
2025;4;907108;907;540
2025;4;999240;907;547
2025;3;999203;912;643
2025;3;980241;916;3
2025;3;999215;986;14
2025;4;942045;942;37
2025;4;973018;942;38
2025;4;953071;953;263
2025;3;904049;905;3
2025;3;905025;905;6
2025;3;980235;905;10
2025;3;999203;915;16
2025;3;999217;915;39
2025;3;907130;907;823
2025;3;910105;902;15
2025;3;910112;902;16
2025;4;700239;903;13
2025;3;700244;903;15
2025;3;900014;957;81
2025;4;912115;957;50
2025;3;912124;957;61
2025;4;999225;957;50
2025;3;900010;942;2
2025;3;936006;942;4
2025;3;907144;931;100
2025;3;907145;931;101
2025;3;900015;925;12
2025;3;999214;925;9
2025;4;926076;977;39
2025;4;985002;977;38
2025;4;918124;941;136
2025;3;905018;930;4
2025;3;980234;930;2
2025;4;918151;918;21
2025;3;904096;930;33
2025;3;904103;930;35
2025;4;999218;930;24
2025;3;908159;998;28
2025;3;960018;998;25
2025;3;918055;918;38
2025;3;918094;918;36
2025;4;999234;903;14
2025;3;912122;953;292
2025;4;999206;953;71
2025;3;980225;700;4
2025;3;980234;700;9
2025;3;999159;700;2
2025;3;905031;905;6
2025;3;914021;905;5
2025;4;960023;960;18
2025;4;966028;966;32
2025;4;946042;946;47
2025;3;946047;946;47
2025;4;999230;946;21
2025;4;904106;904;3
2025;3;926018;926;208
2025;3;926061;926;388
2025;3;957014;957;105
2025;3;912108;913;354
2025;3;999206;913;190
2025;3;999207;913;127
2025;3;942034;942;51
2025;3;961019;942;117
2025;3;999210;942;16
2025;4;915034;941;44
2025;3;900015;905;53
2025;3;904099;905;47
2025;3;905052;905;52
2025;3;907112;905;91
2025;3;914032;905;22
2025;4;907115;904;10
2025;3;918111;947;252
2025;4;918113;947;213
2025;4;918114;947;213
2025;3;947001;947;215
2025;3;918124;918;78
2025;3;918133;918;132
2025;4;908142;920;3
2025;3;908150;920;3
2025;3;999216;920;3
2025;3;918121;994;48
2025;3;993000;994;26
2025;4;999215;912;67
2025;4;918112;997;56
2025;3;918169;918;14
2025;3;918139;919;125
2025;3;919083;919;132
2025;3;919084;919;146
2025;3;999202;959;33
2025;4;999240;959;30
2025;3;999207;912;210
2025;3;910102;944;145
2025;3;926075;944;141
2025;4;934061;944;63
2025;4;999203;944;31
2025;4;904096;930;18
2025;3;907102;907;6
2025;3;908111;908;1
2025;3;980239;908;3
2025;3;999218;919;47
2025;4;999219;919;47
2025;4;675003;675;12
2025;3;918114;675;108
2025;3;919077;675;56
2025;4;910102;946;63
2025;4;934062;926;281
2025;4;999205;926;281
2025;3;907070;907;5
2025;3;987032;987;106
2025;3;926064;944;68
2025;4;912130;952;46
2025;3;918105;941;23
2025;3;914026;962;16
2025;4;999210;962;9
2025;3;999217;962;10
2025;3;999200;905;31
2025;3;999210;912;150
2025;3;919032;919;47
2025;3;919057;919;59
2025;4;947019;947;32
2025;3;999215;947;32
2025;4;999216;947;32
2025;3;986023;986;13
2025;3;900012;941;12
2025;3;918123;919;122
2025;3;918161;919;17
2025;4;948006;948;418
2025;4;948057;948;398
2025;4;999216;926;80
2025;4;999209;904;1
2025;4;947006;947;83
2025;3;919089;919;73
2025;4;919096;919;58
2025;3;999203;951;223
2025;3;999227;951;106
2025;4;942039;942;7
2025;3;912104;912;37
2025;3;908127;915;37
2025;3;904114;904;12
2025;3;999201;904;5
2025;4;999228;942;18
2025;4;999212;906;16
2025;3;980226;907;16
2025;3;918119;986;42
2025;4;999210;986;27
2025;3;918044;918;62
2025;4;967028;949;43
2025;3;999218;951;73
2025;3;916032;918;35
2025;4;999167;918;10
2025;3;966027;966;29
2025;4;966030;966;26
2025;3;999240;966;125
2025;3;975010;975;5
2025;3;912111;956;33
2025;4;912134;956;22
2025;4;910120;902;10
2025;3;987026;937;25
2025;3;987031;937;5
2025;3;999209;700;42
2025;4;999210;906;28
2025;3;973001;973;73
2025;3;960027;960;26
2025;3;926064;946;58
2025;4;946023;946;48
2025;4;961031;961;31
2025;3;999201;935;2
2025;3;963006;953;127
2025;3;684002;684;92
2025;3;684003;684;22
2025;3;684004;684;22
2025;3;900014;684;52
2025;3;912098;912;71
2025;4;999240;936;12
2025;4;953072;953;118
2025;4;906089;917;4
2025;3;916044;917;13
2025;3;900014;929;2
2025;3;904096;929;5
2025;3;999215;929;3
2025;4;913075;952;47
2025;3;999202;952;61
2025;3;999200;949;40
2025;3;963005;941;12
2025;3;999214;919;19
2025;3;912097;919;12
2025;3;918006;919;29
2025;3;960019;925;18
2025;3;999234;925;21
2025;3;918001;919;17
2025;4;948007;948;361
2025;3;912130;916;20
2025;3;999166;918;36
2025;4;999218;916;3
2025;4;919108;919;16
2025;3;999212;919;14
2025;3;999171;700;7
2025;3;926027;926;149
2025;3;926067;926;96
2025;4;999212;926;79
2025;3;945001;945;31
2025;3;945005;945;27
2025;4;945011;945;8
2025;3;999205;945;8
2025;4;925106;998;14
2025;4;951008;998;14
2025;3;951010;998;19
2025;4;926062;944;104
2025;4;999205;944;104
2025;4;999211;912;105
2025;3;910096;910;3
2025;3;907115;910;53
2025;3;910108;910;52
2025;3;910110;910;27
2025;4;999207;910;7
2025;3;918014;919;12
2025;3;918073;919;11
2025;3;941038;963;10
2025;3;963007;963;11
2025;4;905049;905;54
2025;3;914035;924;2
2025;4;909057;909;92
2025;4;918140;918;84
2025;3;999209;918;80
2025;3;999205;905;25
2025;3;999207;905;20
2025;4;999212;905;35
2025;4;999216;944;17
2025;4;987028;987;245
2025;4;950025;971;8
2025;3;999200;971;7
2025;3;918014;918;18
2025;3;934061;987;266
2025;3;907064;907;8
2025;4;999205;973;36
2025;3;999234;911;19
2025;3;918003;918;23
2025;4;918165;918;31
2025;3;918171;918;33
2025;4;987032;987;64
2025;4;975009;975;7
2025;4;999211;975;7
2025;4;906090;906;11
2025;3;999240;906;71
2025;4;910102;926;201
2025;3;907113;910;39
2025;3;910112;910;39
2025;3;913071;913;51
2025;3;913064;913;8
2025;3;999202;914;24
2025;3;912110;967;348
2025;3;959016;967;342
2025;4;926044;926;258
2025;4;999212;986;11
2025;3;999240;986;18
2025;3;919033;919;4
2025;3;919037;919;13
2025;3;919073;919;27
2025;3;675002;675;6
2025;4;675009;675;22
2025;4;999202;700;34
2025;4;700256;700;27
2025;4;999209;905;17
2025;4;999217;905;17
2025;3;913051;913;18
2025;3;913053;913;42
2025;4;999204;964;33
2025;4;999202;953;124
2025;3;949000;949;125
2025;3;999204;949;82
2025;3;954020;954;71
2025;3;999207;954;16
2025;4;999202;967;99
2025;4;912141;683;22
2025;4;926051;926;117
2025;3;999206;959;28
2025;4;953062;936;2
2025;3;910115;910;18
2025;3;910121;910;13
2025;3;910127;910;13
2025;4;999240;909;93
2025;3;953063;960;46
2025;4;912140;938;23
2025;3;999260;938;9
2025;3;999261;938;15
2025;3;989000;996;41
2025;3;993000;996;54
2025;3;996003;996;9
2025;3;999202;996;37
2025;4;912111;965;7
2025;3;913075;965;29
2025;3;938015;965;35
2025;3;949020;965;11
2025;3;999200;965;13
2025;3;999202;965;17
2025;3;999203;965;20
2025;4;918106;918;42
2025;3;999202;918;69
2025;4;918141;997;37
2025;3;999209;997;35
2025;4;999205;914;33
2025;4;941052;941;7
2025;3;908112;908;1
2025;3;918132;675;103
2025;3;910125;902;1
2025;3;999212;967;23
2025;4;999214;998;24
2025;3;934067;987;81
2025;3;999212;937;90
2025;3;983001;983;3
2025;3;918045;918;8
2025;3;926042;926;47
2025;4;910111;947;172
2025;3;916012;917;1
2025;3;916025;917;1
2025;3;916033;917;1
2025;3;912115;956;14
2025;3;925064;923;1
2025;3;980228;923;1
2025;3;980230;923;1
2025;3;999203;999;15
2025;3;994002;994;42
2025;3;906068;915;10
2025;3;907113;993;14
2025;4;993006;993;16
2025;3;912089;913;36
2025;3;912115;953;42
2025;3;999210;953;38
2025;4;962007;935;12
2025;3;999213;935;12
2025;3;953063;959;51
2025;4;912111;959;31
2025;4;913077;959;30
2025;3;925075;925;1
2025;3;999160;925;2
2025;3;999211;915;14
2025;3;980235;928;1
2025;3;999160;928;2
2025;3;900015;973;25
2025;3;912098;913;37
2025;4;926022;926;182
2025;4;999210;926;135
2025;4;946018;946;135
2025;4;999205;684;86
2025;4;949020;909;166
2025;4;999203;909;162
2025;3;907120;914;47
2025;4;957014;957;44
2025;3;949020;941;77
2025;3;999187;929;2
2025;3;912054;937;65
2025;3;934014;937;32
2025;3;937028;937;23
2025;3;904053;905;2
2025;3;925100;925;16
2025;3;918114;997;139
2025;3;919077;997;88
2025;3;912067;937;4
2025;3;937050;937;46
2025;4;999212;675;25
2025;3;980237;918;19
2025;3;918108;967;223
2025;3;986006;986;85
2025;3;914021;914;3
2025;3;916031;915;4
2025;3;918011;915;2
2025;3;934051;937;2
2025;3;934035;934;9
2025;4;958009;958;29
2025;4;907108;908;8
2025;3;912122;963;51
2025;4;999207;919;49
2025;3;972000;972;46
2025;3;906040;901;2
2025;3;999205;958;45
2025;3;999137;912;23
2025;3;912115;915;7
2025;3;918163;918;12
2025;3;949020;952;61
2025;3;966039;967;122
2025;3;967022;967;124
2025;3;967027;967;115
2025;3;999210;967;32
2025;4;999240;967;29
2025;3;944018;944;32
2025;3;912126;957;79
