componente;MAT;CURSO
490001;5324;4913
490001;13636;4912
490001;27010;4909
491217;21371;
491228;21668;
499241;28585;
499901;23709;
675000;13690;
675001;13659;
675001;19978;
675002;13659;
675002;19978;
675003;13690;
675005;13550;
675006;13550;
684001;19151;
684002;19151;
684002;7456;
684003;28484;
684003;19151;
684004;13170;
700179;27626;
700179;12719;
700179;21372;
700181;12719;
700181;21372;
700182;27626;
700182;12719;
700182;21372;
700186;21372;
700186;12719;
700187;12719;
700187;21372;
700190;21372;
700190;12719;
700198;21372;
700198;12719;
700204;12719;
700204;21372;
700207;21372;
700207;12719;
700211;12719;
700211;21372;
700219;27626;
700219;21372;
700219;12719;
700219;16821;
700224;21372;
700224;12719;
700229;27626;
700229;21372;
700229;12719;
700229;16821;
700234;27626;
700234;12719;
700234;21372;
700235;12719;
700235;21372;
700237;12719;
700237;21372;
700238;12719;
700238;21372;
700239;12719;
700240;27626;
700240;12719;
700240;21372;
700241;27626;
700241;12719;
700241;21372;
700242;27626;
700242;21372;
700242;12719;
700243;21372;
700243;12719;
700244;12719;
700244;21372;
700245;27626;
700245;12719;
700245;21372;
700246;12719;
700246;21372;
700247;21372;
700247;12719;
700248;21372;
700248;12719;
700249;12719;
700249;21372;
700250;12719;
700251;21372;
700251;12719;
700252;12719;
700252;21372;
700253;12719;
700253;21372;
700254;21372;
700254;12719;
700255;21372;
700255;12719;
700256;21372;
700256;12719;
700257;12719;
700257;21372;
700258;21372;
700258;12719;
700259;12719;
700259;21372;
900014;5324;936
900014;5324;913
900014;5324;945
900014;5324;952
900014;5557;961
900014;7456;684
900014;7456;949
900014;7456;966
900014;7456;967
900014;7456;968
900014;7456;975
900014;9148;906
900014;9148;908
900014;9148;910
900014;9148;915
900014;9148;916
900014;9148;920
900014;9148;917
900014;9148;902
900014;9148;901
900014;10116;948
900014;10482;942
900014;13428;926
900014;13428;944
900014;13428;951
900014;13428;964
900014;13428;977
900014;13636;912
900014;13636;965
900014;13690;973
900014;14183;5026
900014;14183;907
900014;14183;993
900014;14183;931
900014;17719;960
900014;17719;998
900014;18029;969
900014;18029;971
900014;18029;972
900014;18029;996
900014;19978;675
900014;19978;676
900014;19978;918
900014;19978;919
900014;19978;941
900014;19978;986
900014;19978;994
900014;19978;997
900014;19978;999
900014;20131;700
900014;20131;904
900014;20131;905
900014;20131;914
900014;20131;925
900014;20131;935
900014;20131;938
900014;20131;962
900014;20131;911
900014;20131;924
900014;20131;930
900014;20131;929
900014;20657;987
900014;21371;959
900014;21371;950
900014;21371;953
900014;21371;954
900014;21371;956
900014;21371;957
900014;25691;946
900014;26637;683
900014;26637;958
900014;26637;963
900014;27010;909
900014;27010;947
900014;27626;903
900015;12719;
900015;27626;
900015;21372;
900015;15805;
900015;10482;
900015;28516;
900017;15127;
900017;11583;
900017;9458;
900017;19342;
900017;20131;
904042;9453;
904042;20131;
904042;9458;
904042;11583;
904042;19342;
904042;15127;
904053;9458;
904053;20131;
904053;15127;
904053;18030;
904053;9453;
904053;11583;
904053;10920;
904054;19342;
904054;9458;
904054;9148;
904056;11583;
904056;9458;
904056;19342;
904056;15127;
904056;20131;
904065;19342;
904065;9453;
904067;9453;
904067;9458;
904067;11583;
904067;19342;
904067;15127;
904067;20131;
904070;9453;
904070;20131;
904070;9458;
904070;15127;
904073;11583;
904073;9458;
904073;20131;
904073;15127;
904075;19342;
904075;9458;
904078;9453;
904078;9458;
904078;15127;
904093;11583;
904094;9458;
904094;11583;
904094;15127;
904094;9453;
904094;20131;
904094;18030;
904095;9453;
904095;20131;
904096;9458;
904096;11583;
904096;15127;
904096;9453;
904097;9458;
904097;11583;
904097;15127;
904097;9453;
904098;9453;
904098;20131;
904098;9458;
904098;15127;
904099;23709;
904099;20131;
904100;9453;
904100;20131;
904100;9458;
904100;15127;
904101;9458;
904101;11583;
904101;15127;
904101;9453;
904102;9453;
904102;20131;
904102;9458;
904102;15127;
904103;11583;
904103;20131;
904104;9458;
904104;11583;
904104;9453;
904104;15127;
904105;9458;
904105;20131;
904106;9458;
904106;11583;
904106;9453;
904107;9453;
904108;19342;
904109;19342;
904109;18030;
904110;19342;
904111;19342;
904112;19342;
904113;19342;
904114;19342;
904115;19342;
904116;19342;
904116;9458;
904116;9148;
904117;19342;
904118;19342;
904119;19342;
904119;9458;
904120;19342;
905021;11583;
905021;9458;
905021;20131;
905028;11583;
905028;20131;
905036;11583;
905036;9458;
905036;20131;
905037;23709;
905037;11583;
905043;11583;
905044;11583;
905046;11583;
905046;9453;
905046;20131;
905047;11583;
905047;20131;
905048;23709;
905048;11583;
905049;23709;
905049;11583;
905050;11583;
905050;20131;
905051;23709;
905051;11583;
905052;11583;
905052;20131;
905053;11583;
905054;11583;
905054;20131;
905055;11583;
905055;9458;
905055;20131;
905056;11583;
905057;11583;
905058;11583;
905059;11583;
906052;13814;
906052;16923;
906052;19116;
906052;10920;
906052;9148;
906052;15127;
906052;19115;
906052;13216;
906052;21372;
906052;9453;
906052;16821;
906052;10900;
906052;14183;
906060;19115;
906060;19116;
906060;13814;
906060;16923;
906060;10920;
906060;16821;
906060;9148;
906060;15127;
906060;13207;
906060;13690;
906060;11583;
906060;21372;
906060;9453;
906060;20131;
906060;9458;
906060;10900;
906060;4564;
906060;14183;
906072;13777;
906074;15921;
906074;13777;
906074;9148;
906075;15921;
906075;9148;
906076;13777;
906076;15921;
906076;9148;
906077;15921;
906077;13777;
906078;15921;
906078;13777;
906079;13777;
906079;15921;
906080;13777;
906081;15921;
906081;13777;
906081;9148;
906082;15921;
906082;9148;
906083;15921;
906083;13777;
906083;9148;
906084;13777;
906084;15921;
906085;13777;
906085;15921;
906086;15921;
906087;15921;
906087;9148;
906088;15921;
906089;15921;
906090;15921;
906092;13777;
906093;15921;
906094;13777;
906095;15921;
906096;15921;
906096;13777;
906096;9148;
906097;15921;
906099;15921;
907055;15127;
907055;19115;
907055;13207;
907055;15977;
907055;9148;
907055;16821;
907055;10920;
907055;13814;
907055;16923;
907055;19116;
907055;10900;
907055;9458;
907055;9453;
907055;21372;
907055;14183;
907064;13814;
907064;19115;
907064;13207;
907064;15977;
907064;2779;
907064;15127;
907064;9148;
907064;16821;
907064;10920;
907064;18030;
907064;16923;
907064;19116;
907064;10900;
907064;9458;
907064;9453;
907064;12031;
907076;19116;
907076;19115;
907076;13207;
907076;13814;
907076;10920;
907076;9148;
907076;9453;
907076;10900;
907076;21372;
907076;14183;
907081;15127;
907081;19116;
907081;16923;
907081;13814;
907081;18030;
907081;10920;
907081;9148;
907081;19115;
907081;15977;
907081;21372;
907081;9453;
907081;17525;
907081;9458;
907081;10900;
907081;14183;
907093;13814;
907093;16821;
907093;19116;
907093;16923;
907093;18030;
907093;10920;
907093;9148;
907093;2779;
907093;15127;
907093;15977;
907093;13207;
907093;19115;
907093;13216;
907093;21372;
907093;12031;
907093;9453;
907093;20131;
907093;9458;
907093;10900;
907102;16923;
907102;13814;
907102;10920;
907102;16821;
907102;9148;
907102;19115;
907102;21372;
907102;9453;
907102;10900;
907104;2779;
907105;2779;
907108;19116;
907108;13207;
907108;19115;
907108;9148;
907108;17525;
907108;16821;
907108;10920;
907108;13814;
907108;16923;
907108;10900;
907108;9458;
907108;20131;
907108;9453;
907108;21372;
907109;16923;
907109;19116;
907109;15127;
907109;19115;
907109;16821;
907109;10920;
907109;13814;
907109;10900;
907109;9458;
907109;20131;
907109;9148;
907109;9453;
907109;14183;
907110;13814;
907110;19116;
907110;18030;
907110;16923;
907110;10920;
907110;16821;
907110;9148;
907110;2779;
907110;15127;
907110;15977;
907110;13207;
907110;19115;
907110;16043;
907110;9458;
907110;20131;
907110;9453;
907110;13216;
907110;21372;
907110;12031;
907110;13777;
907110;12367;
907111;10920;
907111;17525;
907111;16923;
907111;13814;
907111;9148;
907111;15127;
907111;13207;
907111;19115;
907111;9458;
907111;20131;
907111;9453;
907111;12031;
907111;21372;
907111;16821;
907111;4564;
907112;19115;
907112;13814;
907112;10920;
907112;16821;
907112;18030;
907112;13207;
907112;15977;
907112;15127;
907112;2779;
907112;9148;
907112;16923;
907112;16043;
907112;9458;
907112;20131;
907112;9453;
907112;12031;
907112;21372;
907112;13777;
907112;13216;
907112;4564;
907113;16821;
907113;17525;
907113;9148;
907113;19115;
907113;19116;
907113;9458;
907113;10900;
907113;9453;
907113;14183;
907113;4564;
907113;21372;
907114;15977;
907114;13814;
907114;19116;
907114;16821;
907114;16923;
907114;18030;
907114;10920;
907114;9148;
907114;2779;
907114;15127;
907114;13207;
907114;19115;
907114;13216;
907114;9458;
907114;16043;
907114;20131;
907114;9453;
907114;21372;
907114;12031;
907114;13777;
907114;4564;
907115;15977;
907115;16923;
907115;13814;
907115;13207;
907115;19115;
907115;9453;
907115;9148;
907115;9458;
907115;10920;
907115;10900;
907116;16923;
907116;19116;
907116;13814;
907116;10920;
907116;15127;
907116;19115;
907116;9148;
907116;9453;
907116;9458;
907116;10900;
907116;4564;
907116;14183;
907119;15977;
907119;9148;
907119;19115;
907119;13207;
907120;16821;
907120;17525;
907120;19116;
907120;9148;
907120;16923;
907120;10900;
907120;9458;
907120;10482;
907120;9453;
907120;21372;
907120;13216;
907120;4564;
907120;12719;
907120;14183;
907124;10920;
907124;15127;
907124;9148;
907124;13814;
907124;19116;
907124;16923;
907124;16821;
907124;19115;
907124;10900;
907124;9458;
907124;20131;
907124;9453;
907124;21372;
907124;4564;
907124;14183;
907126;18030;
907126;10920;
